"ganglionica","gangliónica"
"ganglionico","gangliónico"
"ganglionicos","gangliónicos"
"ganglios","gânglios"
"gas","gás"
"gastrica","gástrica"
"gastrico","gástrico"
"gastricos","gástricos"
"gastrocnemio","gastrocnémio"
"gemeo","gémeo"
"gemeos","gémeos"
"geodicas","geódicas"
"geodico","geódico"
"geodicos","geódicos"
"geografica","geográfica"
"ginecologica","ginecológica"
"glandula","glândula"
"glandulas","glândulas"
"gliotica","gliótica"
"glioticas","glióticas"
"gliotico","gliótico"
"glioticos","glióticos"
"gluteo","glúteo"
"gluteos","glúteos"
"granulaçao","granulação"
"ha","há"
"habitos","hábitos"
"hd","hemitiróide direita"
"he","hemitiróide esquerda"
"hematica","hemática"
"hematicas","hemáticas"
"hematico","hemático"
"hematicos","hemáticos"
"hematuria","hematúria"
"hemicupula","hemicúpula"
"hemicupulas","hemicúpulas"
"hemisacralizaçao","hemisacralização"
"hemisfericos","hemisféricos"
"hemisferio","hemisfério"
"hemisferios","hemisférios"
"hemitiroide","hemitiróide"
"hemitiroides","hemitiróides"
"hemitorax","hemitórax"
"hemodinamico","hemodinâmico"
"hemorragica","hemorrágica"
"hemorragicas","hemorrágicas"
"hemorragico","hemorrágico"
"hemorragicos","hemorrágicos"
"hemossidrina","hemossiderina"
"hepatica","hepática"
"hepaticas","hepáticas"
"hepatico","hepático"
"hepaticos","hepáticos"
"hepato-biliar","hépato-biliar"
"hernia","hérnia"
"herniaria","herniária"
"herniario","herniário"
"herniarios","herniários"
"hernias","hérnias"
"herniaçao","herniação"
"herniaçoes","herniações"
"heterogenea","heterogénea"
"heterogeneo","heterogéneo"
"hidrataçao","hidratação"
"hidrica","hídrica"
"hidroaereo","hidroaéreo"
"hidroaereos","hidroaéreos"
"hipecogenicos","hipoecogénicos"
"hipecoicos","hipoecóicos"
"hipercaptaçao","hipercaptação"
"hiperecogenica","hiperecogénica"
"hiperecogenicas","hiperecogénicas"
"hiperecogenico","hiperecogénico"
"hiperecogenicos","hiperecogénicos"
"hiperecoico","hiperecóico"
"hiperextensao","hiperextensão"
"hiperflexao","hiperflexão"
"hiperlordotica","hiperlordótica"
"hipertensao","hipertensão"
"hipertrofica","hipertrófica"
"hipertroficas","hipertróficas"
"hipertrofico","hipertrófico"
"hipertroficos","hipertróficos"
"hiplasicas","hiplásicas"
"hipocaptaçao","hipocaptação"
"hipocondrio","hipocôndrio"
"hipoecogenea","hipoecogénea"
"hipoecogeneo","hipoecogéneo"
"hipoecogeneos","hipoecogéneos"
"hipoecogenica","hipoecogénica"
"hipoecogenicas","hipoecogénicas"
"hipoecogenico","hipoecogénico"
"hipoecogenicos","hipoecogénicos"
"hipoecoica","hipoecóica"
"hipoecoicas","hipoecóicas"
"hipoecoico","hipoecóico"
"hipoecoicos","hipoecóicos"
"hipofisaria","hipofisária"
"hipofisario","hipofisário"
"hipofise","hipófise"
"hipointensos","hipointensos"
"hipoplasica","hipoplásica"
"hipoplasicas","hipoplásicas"
"hipoplasico","hipoplásico"
"hipoplasicos","hipoplásicos"
"hipotalamo","hipotálamo"
"hipotensao","hipotensão"
"hipotese","hipótese"
"hipoteses","hipóteses"
"hipotimpano","hipotímpano"
"hipotonico","hipotónico"
"hipotransparencia","hipotransparência"
"hipotrofica","hipotrófica"
"hipotrofico","hipotrófico"
"hipotroficos","hipotróficos"
"histologica","histológica"
"histologico","histológico"
"historia","história"
"hoffa","Hoffa"
"homogenea","homogénea"
"homogeneas","homogéneas"
"homogeneo","homogéneo"
"homogeneos","homogéneos"
"horario","horário"
"horizontalizaçao","horizontalização"
"id","Informação dosimétrica: DLP total: mGycm."
"identica","idêntica"
"identicas","idênticas"
"identico","idêntico"
"identicos","idênticos"
"identificaveis","identificáveis"
"identificavel","identificável"
"identificaçao","identificação"
"if","Informação clínica:"
"ileite","ileíte"
"iliaca","ilíaca"
"iliacas","ilíacas"
"iliaco","ilíaco"
"iliacos","ilíacos"
"ilio-pubico","ilio-púbico"
"imagiologica","imagiológica"
"imagiologicas","imagiológicas"
"imagiologico","imagiológico"
"imagiologicos","imagiológicos"
"impactaçao","impactação"
"impercetiveis","impercetíveis"
"implantaçao","implantação"
"importancia","importância"
"impossivel","impossível"
"impressao","impressão"
"impressoes","impressões"
"inacessiveis","inacessíveis"
"incaracteristicos","incaracterísticos"
"incidencia","incidência"
"incidencias","incidências"
"inclinaçao","inclinação"
"incluidas","incluídas"
"incluido","incluído"
"incluidos","incluídos"
"inclusao","inclusão"
"incontaveis","incontáveis"
"incontinencia","incontinência"
"indefiniçao","indefinição"
"indentaçao","indentação"
"indice","índice"
"indices","índices"
"indicios","indícios"
"individualizaveis","individualizáveis"
"individualizavel","individualizável"
"individualizaçao","individualização"
"inequivoca","inequívoca"
"inequivocas","inequívocas"
"inequivoco","inequívoco"
"inequivocos","inequívocos"
"inespecifica","inespecífica"
"inespecificas","inespecíficas"
"inespecifico","inespecífico"
"inespecificos","inespecíficos"
"inexistencia","inexistência"
"infeçao","infeção"
"infiltraçao","infiltração"
"inflamatoria","inflamatória"
"inflamatorias","inflamatórias"
"inflamatorio","inflamatório"
"inflamatorios","inflamatórios"
"inflamaçao","inflamação"
"informaçao","informação"
"infra-centimetricas","infra-centimétricas"
"infra-centimetrico","infra-centimétrico"
"infra-centimetricos","infra-centimétricos"
"infracentimetrico","infracentimétrico"
"infracentimetricos","infracentimétricos"
"infundibulo","infundíbulo"
"infundibulos","infundíbulos"
"inicio","início"
"injeçao","injeção"
"inserçao","inserção"
"inserçoes","inserções"
"insinuaçao","insinuação"
"instaveis","instáveis"
"instituiçao","instituição"
"insuficiencia","insuficiência"
"integras","íntegras"
"integraçao","integração"
"integro","íntegro"
"integros","íntegros"
"interapofisaria","interapofisária"
